subsystem,description,manufacturer,mpn,vendor_source,qty,phase,status,approved_alternate,unit_cost_basis_date,lead_time_lifecycle,open_decision
MCU_BLE,Seeed XIAO nRF52840 module (USB-C BLE charger on board),Seeed Technology,102010448,DigiKey https://www.digikey.com/en/products/detail/seeed-technology-co-ltd/102010448/16652893,1,P1,p1_selected,none,"9.96 USD list; bom/shopping_cart.csv on main fe7a88f (cart dated with v0.1.0 2026-09-12); not a production quote",DigiKey stock fluctuates; P1-only lifecycle,Keep as bench MCU; do not freeze as production radio. Raytac MDBT50Q-1MV2 is a production candidate in its own row — not an approved_alternate.
MCU_BLE,nRF52840 module candidate for production,Raytac,MDBT50Q-1MV2,Raytac https://www.raytac.com/product/ins.php?index_id=81 ; Nordic nRF52840,1,production,production_candidate,none,No unit cost in this repo — do not invent,Module lifecycle TBD vs Nordic,Production candidate only. Not approved. Not selected. Other nRF52840 modules remain possible after RF/DFU review.
DISPLAY,Waveshare 2.9in B/W e-Paper module 296x128 SPI SSD1680,Waveshare,2.9inch e-Paper Module (GDEM029T94 / V2-V3 family; PR1 lock GxEPD2_290_T94_V2),Waveshare / Pi Hut https://thepihut.com/products/eink-display-module-spi-2-9-296x128 ; https://www.waveshare.com/2.9inch-e-paper-module.htm,1,P1,selected,Bare panel + controller TBD,"15.99 USD list; shopping_cart.csv fe7a88f 2026-09-12; not production",Hobby-module supply; not a production panel contract,Production panel sourcing — Peakingtech advice c
DISPLAY,Production 2.9in mono e-paper panel + controller,TBD,TBD,TBD,1,production,TBD,Stay on SSD1680 unless advised,No price,TBD,MPN after optical/mechanical/power review
BUTTON,Sealed tactile switch,Omron,B3W-1000,DigiKey https://www.digikey.com/en/products/detail/omron-electronics-inc-emc-div/B3W-1000/3700,5,P1,p1_selected,none,"0.40 USD list; shopping_cart.csv fe7a88f 2026-09-12 (cart bought 10)",Active Omron series per DigiKey listing,P1 selection and production candidate pending DFM, wet/glove, and IP55 validation. Not an approved production switch. B3W family / sealed-cap equivalents stay candidates after that review.
BATTERY,Protected 3.7V LiPo 500mAh pouch (P1 starting assumption NOT a floor),Adafruit,1578,Adafruit https://www.adafruit.com/product/1578,1,P1,selected (assumption),Smaller protected pouch if BAT-01 passes,"7.95 USD list; shopping_cart.csv / Adafruit page; 2026-09-12 cart",Ground-ship LiPo; P1 only,Optimize capacity down after measured currents
BATTERY,Protected 3.7V LiPo 150mAh catalog example,Adafruit,1317,Adafruit https://www.adafruit.com/product/1317,1,P1-compare,candidate,Production 150mAh pouch TBD,"5.95 USD Adafruit list (vendor page; not a production quote); retrieved 2026-09-17",Hobby pack,Compare only — may fail nameplate formula depending on I_active
BATTERY,Protected LiPo 200mAh,TBD,TBD,TBD,1,production,TBD,,No price — no MPN this revision,TBD,Find commercially suitable protected cell
BATTERY,Protected LiPo 250mAh,TBD,TBD,TBD,1,production,TBD,,No price — no MPN this revision,TBD,Find commercially suitable protected cell
BATTERY,Protected LiPo 300mAh,TBD,TBD,TBD,1,production,TBD,,No price — no MPN this revision,TBD,Find commercially suitable protected cell
BATTERY_PROTECT,Cell protection / PCM / gauge,TBD (Adafruit packs include PCM),TBD,Included on Adafruit 1578/1317; production TBD,1,production,TBD,On-cell PCM vs board-level,No separate line price,TBD,Protection architecture with charger and IP55
CHARGER,XIAO onboard LiPo charger,TI (on Seeed module),BQ25101 (Seeed XIAO implementation),Seeed XIAO wiki / module,1,P1,selected (module),Production charger IC TBD,Included in XIAO price,Tied to XIAO,Replace for production PCB
CHARGER,Production USB-C charge / power-path IC,TBD,TBD,TBD,1,production,TBD,,No price,TBD,Charge current / time / USB-C IP55
MAGNET,Rubber-coated N52 disc,K&J Magnetics,DC6TP-N52,K&J https://www.kjmagnetics.com/dc6tp-n52-neodymium-rubber-coated-disc-magnet,1,P1,p1_selected,none,"7.73 USD list; shopping_cart.csv fe7a88f 2026-09-12",Catalog; temperature rating vs car-trunk TBD,P1 selection and production candidate pending DFM, RF, and retention validation. Not an approved production magnet. Equivalent coated N52 parts stay candidates after that review.
MOUNT,Removable cart-bar clamp,TBD,TBD,Concept only cad/optional_clamp.*,1,P1+production,TBD,Printed P1 vs molded production,No price,TBD,Bore/material/fastener; mixed cart materials
MOUNT,Steel plate + VHB kit,n/a,n/a,n/a,0,obsolete,do_not_buy,n/a,Prior shopping_cart lines superseded,n/a,NOT in the box — do not quote or ship
PCB,Custom main PCB (antenna charger buttons EPD battery SWD test points),TBD,TBD,TBD,1,production,TBD,P1 is XIAO + wire,No price — no schematic,TBD,Layer count / antenna / DFT
PCB_P1,Breadboard / jumpers for week-1 wiring,generic,n/a,DigiKey cart line,1,P1,selected,n/a,"8.00 USD shopping_cart.csv fe7a88f 2026-09-12",n/a,Bench only
STORAGE,On-MCU nonvolatile rounds (LittleFS on nRF52840),Nordic (on MCU),nRF52840 internal flash,On XIAO / Raytac,1,P1+production,candidate,External flash if queue+DFU banks need it,Included in MCU,Flash budget vs dual-bank DFU unknown,Size for >=10 rounds + DFU
CONNECTOR,USB-C receptacle,Seeed (on XIAO) / TBD production,TBD,P1 on XIAO,1,P1+production,P1 selected / prod TBD,Sealed USB-C vs cap vs pogo service,Included in XIAO,TBD,IP55 vs serviceability
CONNECTOR,Battery connector,JST,PH 2.0 (Adafruit pack),On Adafruit packs + XIAO pads,1,P1,selected,Board-to-board / welded tabs production,Included in cell price,TBD,Production interconnect
CONNECTOR,E-paper FPC / header,Waveshare module header,TBD,On P1 module,1,P1+production,TBD,Panel FPC TBD,Included in module,TBD,Production display interconnect
FASTENER,Hidden M2 screws + inserts,TBD,TBD,McMaster cart line (no MPN),4,P1+production,TBD,,6.00 USD kit line shopping_cart.csv fe7a88f 2026-09-12 — not a unit quote,TBD,Insert vs thread-forming; torque; drop
